ordem;tipologia;unidade;endereco;bairro;cep;localizacao;número de alunos;latitude;longitude
1;CM;CM CELIA MARCIA SANTOS CIRNE ;RUA TOME DE SOUZA S/N;JOSE PINHEIRO;58407300;-7.221393025658753, -35.86940292014735;196;-7.221393026;-35.86940292
2;CM;CM ELZA ALMEIDA;RUA HORTÊNSIO RIBEIRO S/N;MONTE CASTELO;58407015;-7.218781127922367, -35.86573617065455;134;-7.218781128;-35.86573617
3;EMEF;EMEF LILIOSA BARRETO;RUA MATO GROSSO S/N;MONTE CASTELO;58407095;-7.219510179694475, -35.86565624065099;308;-7.21951018;-35.86565624
4;EMEIF;EMEIF ALICE GAUDENCIO;RUA JOSE GOMES DE FARIAS S/N;MONTE CASTELO;58406160;-7.2157097555782155, -35.869366112526336;163;-7.215709756;-35.86936611
5;EMEIF;EMEIF ANESIO LEAO;RUA DEPUTADO JOSE GAUDÊNCIO S/N;MONTE CASTELO;58407090;-7.222296914723399, -35.86538334917666;309;-7.222296915;-35.86538335
6;EMEIF;EMEIF DR CHATEAUBRIAND;RUA JOANA D'ARC FERREIRA DE ARRUDA 925;JOSE PINHEIRO;58407380;-7.221947169014823, -35.86949616967949;379;-7.221947169;-35.86949617
7;EMEIF;EMEIF DR JOSE TAVARES;RUA JOSE GOMES DE FARIAS S/N;MONTE CASTELO;58406160;-7.215643201616716, -35.86712920719909;358;-7.215643202;-35.86712921
8;EMEIF;EMEIF GRACITA MELO;RUA CAMPOS SALES 2115;JOSE PINHEIRO;58407450;-7.23092530222428, -35.870892960191405;207;-7.230925302;-35.87089296
9;EMEIF;EMEIF MARIA CANDIDA DE OLIVEIRA;RUA DR ANTONIO BEZERRA CAMBOIM S/N;NOVA BRASILIA;58406785;-7.219255259841443, -35.86144273606025;373;-7.21925526;-35.86144274
10;EMEIF;EMEIF PROF JOSE DE ALMEIDA JUNIOR;RUA PARANA S/N;JOSE PINHEIRO;58407277;-7.225056239538167, -35.86615443080196;197;-7.22505624;-35.86615443
11;CM;CM TERESA GIOIA;RUA OTACILIO NEPOMUCENO S/N;CATOLE;58410160;-7.23377075897423, -35.873503189668575;137;-7.233770759;-35.87350319
12;CM;CM ZEFERINA GAUDENCIO;RUA JOAO PEQUENO S/N;CATOLE;58410150;-7.2335454969945925, -35.877493119129895;119;-7.233545497;-35.87749312
13;EMEF;EMEF CEAI DR JOAO PEREIRA DE ASSIS;RUA MANOEL ALVES DE OLIVEIRA S/N;CATOLE;58410575;-7.24952672441164, -35.88239012602956;411;-7.249526724;-35.88239013
14;EMEIF;EMEIF FELIX ARAUJO;RUA OTACILIO NEPOMUCENO S/N;CATOLE;58410160;-7.228943804054208, -35.87656774679366;230;-7.228943804;-35.87656775
15;EMEF;EMEF LIONS PRATA;RUA JOAO QUIRINO S/N;CATOLE;58410370;-7.23443024301443, -35.87547443131069;262;-7.234430243;-35.87547443
16;EMEIF;EMEIF CENTENARIO;AVENIDA VIGARIO CALIXTO S/N;CATOLE;58410340;-7.234333382515749, -35.87826260573527;111;-7.234333383;-35.87826261
17;EMEIF;EMEIF GUSTAVO ADOLFO CANDIDO ALVES;RUA PEDRO ARAGAO S/N;SANDRA CAVALCANTE;58410765;-7.243568005460661, -35.87834682689003;145;-7.243568005;-35.87834683
18;EMEIF;EMEIF JOSELITA BRASILEIRO;RUA SAO JOSE S/N;VILA CABRAL;58408045;-7.239741989989168, -35.86443665755566;163;-7.23974199;-35.86443666
19;EMEIF;EMEIF MARIA JOSE DE CARVALHO DE SOUZA;RUA SANTISSIMA S/N;VILA CABRAL;58408100;-7.239071574824752, -35.866411101990764;217;-7.239071575;-35.8664111
20;EMEIF;EMEIF ROTARY DR FRANCISCO BRASILEIRO;RUA JOSE RODRIGUES DE LIMA 80;SANTA TERESINHA;58449000;-7.251733843116958, -35.83637222456371;403;-7.251733843;-35.83637222
21;EMEIF;EMEIF SANDRA CAVALCANTE;AVENIDA ELPIDIO DE ALMEIDA S/N;SANDRA CAVALCANTE;58410725;-7.243904871504788, -35.87439762341493;148;-7.243904872;-35.87439762
22;CE;CLINICA ESCOLA DO AUTISMO - AFETO;RUA ANTÔNIO CAMPOS 252 ;LAURITZEN;58401399;-7.212778759006249, -35.881035352574365;42;-7.212778759;-35.88103535
23;CM;CM MARIA CECI;RUA GENERAL NEWTON ESTILAC LEAL S/N;ALTO BRANCO;58401750;-7.207360790497609, -35.88609006418875;170;-7.20736079;-35.88609006
24;EMEF;EMEF FREI DAGOBERTO STUCKER;RUA GENERAL NEWTON ESTILAC LEAL S/N;ALTO BRANCO;58401750;-7.207369248927569, -35.88569202143346;187;-7.207369249;-35.88569202
25;EMEF;EMEF LUCIA DE FATIMA GAYOSO MEIRA;RUA NAPOLEAO LAUREANO S/N;LAURITZEN;58401438;-7.213538848846747, -35.88316950552302;132;-7.213538849;-35.88316951
26;EMEF;EMEF PROFA LUZIA DANTAS;RUA HENRIMAR CASTRO DE OLIVEIRA S/N;ALTO BRANCO;58401714;-7.205147765566291, -35.88530600595297;103;-7.205147766;-35.88530601
27;EMEIF;EMEIF ANA AZEVEDO;RUA SANTA CRUZ S/N;NAÇOES;58402650;-7.195758353972801, -35.87948210976308;139;-7.195758354;-35.87948211
28;EMEIF;EMEIF DEZENOVE DE MARÇO;RUA CLEMENTINO SIQUEIRA 738;JARDIM TAVARES;58402070;-7.204869221754682, -35.8686163492143;102;-7.204869222;-35.86861635
29;EMEIF;EMEIF LUIS GOMES DA SILVA;RUA FRANKLIN ARAUJO S/N;ALTO BRANCO;58401730;-7.208625971936276, -35.8842452205763;157;-7.208625972;-35.88424522
30;CM;CM BEATRIZ HAMAND GOMES;RUA ANTÔNIO SOARES SILVA S/N;JEREMIAS;58404222;-7.205611109804208, -35.902834430451605;82;-7.20561111;-35.90283443
31;CM ;CM GALBA FARIAS PIMENTEL;RUA LUIS LEOPOLDINO DE ALBUQUERQUE 395;JARDIM CONTINENTAL;58403346;-7.193271975042932, -35.89143807668858;144;-7.193271975;-35.89143808
32;CM ;CM GALDINA BARBOSA SILVEIRA ;RUA MÔNACO S/N;CUITES;58404879;-7.186212617493815, -35.905604023649474;152;-7.186212617;-35.90560402
33;CM;CM MARIA EMILIA CORDEIRO PEDROSA;EIXO DAS NAÇOES S/N;ARAXA;58400975;-7.203567300667535, -35.905799335157845;125;-7.203567301;-35.90579934
34;CM;CM MARIA TEREZA NEPOMUCENO;RUA JOAO SUASSUNA S/N;MONTE SANTO;58400775;-7.211775484269429, -35.89822471966247;107;-7.211775484;-35.89822472
35;EMEF ;EMEF PROF ANISIO TEIXEIRA;RUA JOSE LINS DO REGO S/N;PALMEIRA;58401145;-7.210148536210222, -35.89567369896185;278;-7.210148536;-35.8956737
36;EMEF;EMEF SANTO ANTÔNIO 1;RUA 15 DE NOVEMBRO 1021;PALMEIRA;58401075;-7.205989111123775, -35.894435969652655;270;-7.205989111;-35.89443597
37;EMEF;EMEF SANTO ANTÔNIO 2;AVENIDA PARIS S/N;CUITES;58404888;-7.187684535872924, -35.89974514879384;111;-7.187684536;-35.89974515
38;EMEIF;EMEIF DR SEVERINO CRUZ;RUA TOMAS DE ARAUJO S/N;MONTE SANTO;58400735;-7.208967823347925, -35.90010214681873;178;-7.208967823;-35.90010215
39;EMEIF;EMEIF FERNANDO CUNHA LIMA;RUA PROBO CÂMARA S/N;JEREMIAS;58404026;-7.2067163521348325, -35.89676853050641;185;-7.206716352;-35.89676853
40;EMEIF;EMEIF GERIVALDO LUNA DE OLIVEIRA ;RUA JOAO DOMINGOS DOS SANTOS S/N;JARDIM CONTINENTAL;58403355;-7.196503659982398, -35.89374741262394;162;-7.19650366;-35.89374741
41;EMEIF;EMEIF HELENO HENRIQUES;RUA 15 DE NOVEMBRO S/N;PALMEIRA;58401075;-7.203634588715162, -35.89465812819939;127;-7.203634589;-35.89465813
42;EMEIF;EMEIF JOSE VIRGINIO DE LIMA;RUA OLEGARIO MACIEL S/N;JEREMIAS;58404032;-7.2062945573087624, -35.902168710641675;164;-7.206294557;-35.90216871
43;EMEIF;EMEIF LUIZ JOAQUIM AVELINO;RUA ANTÔNIO BARBOSA LIMA S/N;ARAXA;58404168;-7.202174914660566, -35.89945327442623;148;-7.202174915;-35.89945327
44;EMEIF;EMEIF PADRE EMIDIO VIANA CORREIA;RUA MANOEL ALEXANDRINO ARAUJO S/N;JEREMIAS;58404205;-7.205592040309508, -35.90097262546247;518;-7.20559204;-35.90097263
45;EMEIF;EMEIF SANTO AFONSO;RUA FRANCISCO ROSA DE FARIAS S/N;MONTE SANTO;58400710;-7.212304426549079, -35.89861539212175;210;-7.212304427;-35.89861539
46;EMEIF;EMEIF SEVERINO DIONISIO DO NASCIMENTO;SITIO SANTO IZIDRO;DISTRITO DE CATOLE;58115000;-7.188041972953005, -35.918714441242905;29;-7.188041973;-35.91871444
47;CM;CM CARLA MEDEIROS;RUA JOAO AMARO DE LIMA;MALVINAS;58433550;-7.228555006524737, -35.92972675962629;193;-7.228555007;-35.92972676
48;CM ;CM FELIX ARAUJO;AVENIDA PORTUGAL S/N;BODOCONGO;58430550;-7.214249967698598, -35.92368376145;170;-7.214249968;-35.92368376
49;EMEF;EMEF DR WILLIAMS DE SOUZA ARRUDA;RUA DOUTOR PAULO ACACIO GALVAO S/N;BODOCONGO;58433470;-7.226402072508043, -35.92895996198369;400;-7.226402073;-35.92895996
50;EMEF;EMEF PADRE ANTONINO;RUA CARLOS ALBERTO SOUZA 255;BODOCONGO;58430360;-7.21875525138859, -35.91534822630722;750;-7.218755251;-35.91534823
51;EMEIF;EMEIF ALMIRA DE OLIVEIRA;RUA RODRIGUES ALVES S/N;UNIVERSITARIO;58429145;-7.217763090331979, -35.906494144187874;85;-7.21776309;-35.90649414
52;EMEIF;EMEIF CICERO VIRGINIO;RUA MANOEL MOTA S/N;BODOCONGO;58430745;-7.214431569833229, -35.924351568724965;154;-7.21443157;-35.92435157
53;EMEIF;EMEIF MANOEL FRANCISCO DA MOTTA;RUA ANTONIO VIEIRA DA ROCHA 355;BODOCONGO;58430460;-7.219181693216098, -35.918330796001676;141;-7.219181693;-35.9183308
54;EMEIF;EMEIF MARIA MINERVINO DE FIGUEIREDO;RUA CONEGO PEQUENO S/N;BODOCONGO;58400802;-7.2176873021820365, -35.90083636558587;96;-7.217687302;-35.90083637
55;EMEIF;EMEIF PRESIDENTE KENNEDY;RUA FLORIPEDES COUTINHO S/N;BODOCONGO;58430602;-7.219083892364001, -35.920952382870226;388;-7.219083892;-35.92095238
56;EMEIF;EMEIF PROFA NELY DE LIMA E MELO;RUA MANOEL GONÇALVES MELO S/N;BODOCONGO;58430790;-7.210024489451369, -35.923811200160294;191;-7.210024489;-35.9238112
57;CM;CM ANITA CABRAL;RUA XIQUE XIQUE S/N;MALVINAS;58432767;-7.245825972453143, -35.92250989625418;0;-7.245825972;-35.9225099
58;CM;CM BERCARIO MARIA AMELIA;RUA DOS PAU D'ARCOS S/N;MALVINAS;58432820;-7.2410401589777225, -35.92637085337009;116;-7.241040159;-35.92637085
59;CM;CM COTINHA CARVALHO;RUA SAO PEDRO S/N;PEDREGAL;58438423;-7.221672177116366, -35.90876339385429;74;-7.221672177;-35.90876339
60;CM;CM ISABELE BARBOSA DA SILVA;RUA EPITACIO PESSOA CAVALCANTI 635;PEDREGAL;58428710;-7.222546170384816, -35.904237699025;116;-7.22254617;-35.9042377
61;CM;CM LENISE MEDEIROS;RUA CAICO C/N;MALVINAS;58433187;-7.232759569808501, -35.926935452988715;53;-7.23275957;-35.92693545
62;CM;CM SEVERINO CABRAL;RUA JAMILA ABRAAO JORGE S/N;MALVINAS;58432770;-7.2425331260727495, -35.923252266117935;148;-7.242533126;-35.92325227
63;EMEF;EMEF ADV OTAVIO AMORIM;RUA FREI GERALDO S/N;MALVINAS;58433225;-7.233767745130674, -35.92371913214759;468;-7.233767745;-35.92371913
64;EMEIF;EMEIF AGEU GENUINO DA SILVA;RUA ARQUILAU DA COSTA GUIMARAES S/N;RAMADINHA;58433763;-7.219080549054254, -35.92845861321365;387;-7.219080549;-35.92845861
65;EMEIF;EMEIF CEAI DR ELPIDIO DE ALMEIDA;RUA JOAQUIM AMORIM JUNIOR S/N;RAMADINHA;58400200;-7.227474751457432, -35.925515043846296;704;-7.227474751;-35.92551504
66;EMEIF;EMEIF DEP PETRONIO FIGUEIREDO;RUA SAO SEBASTIAO S/N;PEDREGAL;58428370;-7.223039784721419, -35.90954625277802;153;-7.223039785;-35.90954625
67;EMEIF;EMEIF EPITACIO PESSOA;RUA OSVALDO CRUZ 674;CENTENARIO;58428095;-7.225453780448393, -35.90264171068988;193;-7.22545378;-35.90264171
68;EMEIF;EMEIF ESTUDANTE LEONARDO VITORINO GUIMARAES;RUA LUZIA BARBOSA LEAL 519;BELA VISTA;58428600;-7.223324026486648, -35.9043189549819;311;-7.223324026;-35.90431895
69;EMEIF;EMEIF LAFAYETE CAVALCANTE;RUA MAESTRO NESTOR GOMES SANTIAGO S/N;MALVINAS;58432835;-7.242147251777274, -35.92262211245816;581;-7.242147252;-35.92262211
70;EMEIF;EMEIF MANOEL DA COSTA CIRNE;RUA JOAQUIM GONÇALVES LEDO S/N;PEDREGAL;58428530;-7.224932894322686, -35.90870618458579;415;-7.224932894;-35.90870618
71;EMEIF;EMEIF PROFA FRANCISCA ZENA BRASILEIRO;RUA OSVALDO CRUZ S/N;CENTENARIO;58428095;-7.227511567450039, -35.90912220558845;249;-7.227511567;-35.90912221
72;CM;CM AMENAIDE SANTOS;RUA PRESIDENTE COSTA E SILVA S/N;SANTA ROSA;58416600;-7.234085776972735, -35.90300458296252;98;-7.234085777;-35.90300458
73;CM;CM ANA PAULA;RUA SEVERINO RODRIGUES DE ALBUQUERQUE 175;ESTACAO VELHA;58410082;-7.235120423853656, -35.88793459904256;107;-7.235120424;-35.8879346
74;CM;CM FOLCLORISTA LENIRA RITA GOMES;RUA JOSE CURSINO DE SIQUEIRA 3;ALUIZIO CAMPOS;58412195;-7.296279417281607, -35.87991412548336;252;-7.296279417;-35.87991413
75;CM;CM VANIA FIGUEIREDO;RUA MANOEL VIRIATO DE SOUZA S/N;TAMBOR;58414625;-7.254002254543621, -35.88890975716711;123;-7.254002255;-35.88890976
